Ссылка,Регион,Сельское поселение,oktmo,На что,Сумма(тыс р),Год ,примечание,,Сумма,Год,,,,Наименование,,нужно найти:,
,воронежская область,,20604438126,,,,,,,,,,,,,,
,воронежская область,,20604438116,,,,,,,,,,,,,,
,воронежская область,,20602476101,,,,,,,,,,,,,,
,воронежская область,,20605404,,,,,,,,,,,,,,
,воронежская область,,20605424,,,,,,,,,,,,,,
,воронежская область,,20605444,,,,,,,,,,,,,,
,воронежская область,,20605444106,,,,,,,,,,,,,,
,воронежская область,,20619456,,,,,,,,,,,,,,
,воронежская область,,20627101,,,,,,,,,,,,,,
,воронежская область,,20619440,,,,,,,,,,,,,,
https://docs.cntd.ru/document/410802018,Волгоградская область ,Красный октябрь,,общеобразовательные организации,"36311,2",2015,,,,,,,,,,,
,Волгоградская область ,Дубровский,18620436101,фельдшерско-акушерские пункты,7648,2014,,всего на подпроект с инфраструктурой в регионе выделили,509833,2014,,,,,,,
,Волгоградская область ,Равнинный,18624452,фельдшерско-акушерские пункты,2862,2014,,,"945576,7",2015,,,,,,,
,Волгоградская область ,Моисеево,18626424,фельдшерско-акушерские пункты,"9546,3",2014,,,,,,,,,,,
,Волгоградская область ,Ильмень,36636406,фельдшерско-акушерские пункты,"9744,4",2014,,,,,,,,,,,
,Волгоградская область ,Ильмень,36636406,фельдшерско-акушерские пункты,4300,2015,,,,,,,,,,,
,Волгоградская область ,Лемешкино,18647416,фельдшерско-акушерские пункты,"14570,2",2014,,,,,,,,,,,
,Волгоградская область ,Лемешкино,18647416,фельдшерско-акушерские пункты,5900,2015,,,,,,,,,,,
,Волгоградская область ,Новая Полтавка,18652444,фельдшерско-акушерские пункты,"1936,2",2014,,,,,,,,,,,
,Волгоградская область ,Новая Полтавка,18652444,фельдшерско-акушерские пункты,6700,2015,,,,,,,,,,,
,Волгоградская область ,Закутский,18651439,фельдшерско-акушерские пункты,6700,2015,,,,,,,,,,,
,Волгоградская область ,Кочкаринский,18602470106,Строительство автомобильной дороги,"25688,6",2015,,,,,,,,,,,
,Волгоградская область ,Заволжский,18645408,Строительство автомобильной дороги,"41166,5",2015,,,,,,,,,,,
,Волгоградская область ,Чилеково,18624452,Строительство автомобильной дороги,"52287,4",2015,,,,,,,,,,,
,Волгоградская область ,Варламов,18605418,Строительство автомобильной дороги,"17386,7",2015,,,,,,,,,,,
,Волгоградская область ,Бурнацкий,18638404,Строительство автомобильной дороги,"13929,4",2015,,,,,,,,,,,
,Волгоградская область ,Забурунный,18643408,Строительство автомобильной дороги,"46183,1",2015,,,,,,,,,,,
