,region_name,value,oktmo,in_program
2377,Алтайский край,1361.0,1633405,False
2383,Алтайский край,1475.0,1633407,False
2389,Алтайский край,1605.0,1633414,False
2395,Алтайский край,1455.0,1633423,False
2401,Алтайский край,975.0,1633434,False
2407,Алтайский край,809.0,1633440,False
2413,Алтайский край,997.0,1633446,False
2419,Алтайский край,2553.0,1633457,False
2425,Алтайский край,680.0,1633479,False
2432,Алтайский край,11910.0,1633000,False
2438,Алтайский край,1128.0,1634408,False
2444,Алтайский край,815.0,1634422,False
2450,Алтайский край,1201.0,1634433,False
2456,Алтайский край,1311.0,1634439,False
2462,Алтайский край,969.0,1634445,False
2468,Алтайский край,958.0,1634450,False
2474,Алтайский край,1752.0,1634467,False
2480,Алтайский край,1670.0,1634478,False
2486,Алтайский край,710.0,1634482,False
2492,Алтайский край,1192.0,1634489,False
2498,Алтайский край,12076.0,1634495,False
2505,Алтайский край,23782.0,1634000,False
2511,Алтайский край,1471.0,1635407,False
2517,Алтайский край,689.0,1635412,False
2523,Алтайский край,924.0,1635419,False
2529,Алтайский край,522.0,1635424,False
2531,Алтайский край,862.0,1635430,False
2537,Алтайский край,1001.0,1635436,False
2543,Алтайский край,1099.0,1635442,False
2549,Алтайский край,291.0,1635448,False
2552,Алтайский край,1272.0,1635456,False
2558,Алтайский край,349.0,1635458,False
2564,Алтайский край,905.0,1635459,False
2570,Алтайский край,8207.0,1635464,False
2576,Алтайский край,988.0,1635470,False
2582,Алтайский край,2567.0,1635476,False
2588,Алтайский край,1114.0,1635479,False
2594,Алтайский край,625.0,1635484,False
2597,Алтайский край,561.0,1635495,False
2604,Алтайский край,23447.0,1635000,False
2610,Алтайский край,522.0,1636410,False
2616,Алтайский край,642.0,1636422,False
2622,Алтайский край,923.0,1636428,False
2628,Алтайский край,1836.0,1636434,False
2634,Алтайский край,994.0,1636445,False
2640,Алтайский край,1223.0,1636451,False
2646,Алтайский край,8218.0,1636456,False
2652,Алтайский край,1373.0,1636468,False
2658,Алтайский край,1002.0,1636472,False
2664,Алтайский край,611.0,1636474,False
2670,Алтайский край,1280.0,1636480,False
2676,Алтайский край,717.0,1636491,False
2683,Алтайский край,19341.0,1636000,False
2689,Алтайский край,847.0,1637407,False
2695,Алтайский край,393.0,1637412,False
2701,Алтайский край,883.0,1637417,False
2707,Алтайский край,464.0,1637422,False
2713,Алтайский край,772.0,1637435,False
2719,Алтайский край,294.0,1637440,False
2725,Алтайский край,455.0,1637446,False
2731,Алтайский край,377.0,1637457,False
2737,Алтайский край,297.0,1637466,False
2743,Алтайский край,5454.0,1637468,False
2749,Алтайский край,1283.0,1637479,False
2755,Алтайский край,825.0,1637482,False
2762,Алтайский край,12344.0,1637000,False
2768,Алтайский край,2949.0,1638406,False
2774,Алтайский край,1402.0,1638412,False
2780,Алтайский край,627.0,1638415,False
2786,Алтайский край,5130.0,1638418,False
2792,Алтайский край,553.0,1638420,False
2798,Алтайский край,1058.0,1638422,False
2804,Алтайский край,1376.0,1638425,False
2810,Алтайский край,1193.0,1638437,False
2816,Алтайский край,1408.0,1638440,False
2822,Алтайский край,765.0,1638444,False
2828,Алтайский край,1090.0,1638447,False
2834,Алтайский край,1128.0,1638451,False
2840,Алтайский край,1081.0,1638460,False
2846,Алтайский край,2318.0,1638462,False
2852,Алтайский край,966.0,1638465,False
2858,Алтайский край,561.0,1638467,False
2864,Алтайский край,906.0,1638471,False
2871,Алтайский край,24511.0,1638000,False
2877,Алтайский край,1090.0,1640405,False
2883,Алтайский край,2632.0,1640412,False
2889,Алтайский край,1683.0,1640423,False
2895,Алтайский край,1762.0,1640434,False
2901,Алтайский край,1921.0,1640445,False
2907,Алтайский край,9138.0,1640456,False
2913,Алтайский край,1459.0,1640460,False
2919,Алтайский край,2393.0,1640466,False
2925,Алтайский край,1289.0,1640479,False
2932,Алтайский край,23367.0,1640000,False
2938,Алтайский край,656.0,1641404,False
2944,Алтайский край,382.0,1641410,False
2950,Алтайский край,2390.0,1641413,False
2956,Алтайский край,140.0,1641420,False
2960,Алтайский край,1086.0,1641425,False
