регион,название ,2014   ,2013   ,октмо
Воронежская область,берёзовское,1392,1349,
Воронежская область,васильевское,936,896,
Воронежская область,великоархангельское,1191,1173,
Воронежская область,гвазденское,2356,2322,
Воронежская область,карайчевское,897,878,
Воронежская область,клёповское,2324,2271,
Воронежская область,козловское,3034,3006,
Воронежская область,колодеевское,561,547,
Воронежская область,кучеряевское,784,752,
Воронежская область,озерское,698,671,
Воронежская область,пузевское,2137,2070,
Воронежская область,сериковское,606,580,
Воронежская область,филиппенковское,1758,1711,
Воронежская область,чулокское,1031,992,
Воронежская область,верхнемамонское,8223,8092,
Воронежская область,гороховское,1243,1265,
Воронежская область,дерезовское,968,929,
Воронежская область,лозовское 1-е,1128,1874,
Воронежская область,мамоновское,603,580,
Воронежская область,нижнемамонское 1-е,2036,3634,
Воронежская область,ольховатское,1672,854,
Воронежская область,осетровское,778,762,
Воронежская область,приреченское,736,726,
Воронежская область,русско-журавское,1670,1632,
Воронежская область,александровское,336,321,
Воронежская область,большеприваловское,688,702,
Воронежская область,верхнелуговатское,574,570,
Воронежская область,верхнемазовское,584,561,
Воронежская область,верхнеплавицкое,416,404,
Воронежская область,верхнехавское,8731,8660,
Воронежская область,малоприваловское,627,629,
Воронежская область,малосамовецкое,273,262,
Воронежская область,нижнебайгорское,976,983,
Воронежская область,парижскокоммунское,1445,1429,
Воронежская область,плясоватское,486,480,
Воронежская область,правохавское,590,554,
Воронежская область,семёновское,488,477,
Воронежская область,спасское,1411,1427,19620484101
Воронежская область,сухогаёвское,643,636,
Воронежская область,углянское,6150,6076,
Воронежская область,шукавское,615,586,
Воронежская область,берёзовское,1965,1898,
Воронежская область,верхнебыковское,878,868,
Воронежская область,воробьёвское,3929,3905,
Воронежская область,квашинское,2080,2058,
Воронежская область,краснопольское,1264,1233,
Воронежская область,лещановское,1093,1062,
Воронежская область,мужичанское,1261,1223,
Воронежская область,никольское 1-е,1182,1143,
Воронежская область,никольское 2-е,537,517,
Воронежская область,руднянское,1820,1791,
Воронежская область,солонецкое,1853,1776,
Воронежская область,алексеевское,488,478,
Воронежская область,большеалабухское,768,736,
Воронежская область,васильевское,548,536,
Воронежская область,верхнекарачанское,2937,2898,
Воронежская область,калиновское,273,266,
Воронежская область,кирсановское,905,896,
Воронежская область,краснореченское,334,317,
Воронежская область,кутковское,642,630,
Воронежская область,листопадовское,2691,2618,
Воронежская область,малоалабухское,1202,1197,
Воронежская область,малогрибановское,895,885,
Воронежская область,нижнекарачанское,1852,1855,
Воронежская область,новогольеланское,915,883,
Воронежская область,новогольское,761,744,
Воронежская область,новомакаровское,630,605,
Воронежская область,посевкинское,462,447,
Воронежская область,заброденское,9270,9289,
Воронежская область,калачеевское,1673,1616,
Воронежская область,коренновское,627,604,
Воронежская область,краснобратское,1985,1951,
Воронежская область,манинское,2294,2252,
Воронежская область,меловатское,2375,2271,
Воронежская область,новокриушанское,2120,2077,
Воронежская область,подгоренское,2180,2126,
Воронежская область,пригородное,4662,4610,
Воронежская область,россыпнянское,458,432,
Воронежская область,семёновское,1089,1036,
Воронежская область,скрипнянское,415,408,
Воронежская область,советское,406,392,
Воронежская область,хрещатовское,2098,2001,
Воронежская область,ширяевское,2308,2307,
Воронежская область,ясеновское,964,944,
Воронежская область,волчанское,953,948,
Воронежская область,дегтяренское,805,786,
Воронежская область,евдаковское,1139,1113,
Воронежская область,карпенковское,1450,1396,
Воронежская область,коденцовское,736,701,
Воронежская область,марковское,1465,1423,
Воронежская область,сончинское,953,924,
Воронежская область,татаринское,910,887,
Воронежская область,трехстенское,984,949,
Воронежская область,тхоревское,1432,1393,
Воронежская область,бондаревское,1358,1336,
Воронежская область,бугаевское,987,957,
Воронежская область,журавское,2127,2091,
Воронежская область,зайцевское,1469,1431,
Воронежская область,митрофановское,5777,5653,
Воронежская область,михайловское,1692,1646,
Воронежская область,новобелянское,1433,1420,
Воронежская область,новомарковское,1451,1429,
Воронежская область,осиковское,898,891,
Воронежская область,пасековское,1244,1222,
Воронежская область,писаревское,1544,1519,
Воронежская область,смаглеевское,1439,1397,
Воронежская область,таловское,1740,1674,
Воронежская область,титаревское,1036,1010,
Воронежская область,фисенковское,535,516,
Воронежская область,боевское,2049,2037,
Воронежская область,данковское,1503,1504,
Воронежская область,дзержинское,1885,1885,
Воронежская область,запрудское,738,733,
Воронежская область,каменно-верховское,435,435,
Воронежская область,каширское,4368,4389,
Воронежская область,колодезянское,6764,6730,
Воронежская область,кондрашкинское,793,783,
Воронежская область,краснологское,1444,1420,
Воронежская область,круглянское,851,856,
Воронежская область,левороссошанское,1112,1091,
Воронежская область,можайское,1481,1439,
Воронежская область,мосальское,588,578,
Воронежская область,старинское,812,803,
Воронежская область,бодеевское,1071,1032,
Воронежская область,высокинское,2276,2255,
Воронежская область,дракинское,3131,3065,
Воронежская область,залуженское,4928,4873,
Воронежская область,ковалёвское,1945,1908,
Воронежская область,коломыцевское,1009,996,
Воронежская область,колыбельское,1245,1215,
Воронежская область,копанищенское,909,891,
Воронежская область,краснознаменское,1517,1500,
Воронежская область,нижнеикорецкое,2099,2082,
Воронежская область,петровское,812,788,
Воронежская область,петропавловское,1313,1307,
Воронежская область,почепское,2270,2238,
Воронежская область,селявинское,1090,1076,
Воронежская область,среднеикорецкое,6124,6070,
Воронежская область,старохворостанское,2212,2175,19620000
Воронежская область,степнянское,1125,1117,
Воронежская область,сторожевское 2-е,555,544,
Воронежская область,тресоруковское,3217,3150,
Воронежская область,троицкое,1125,1096,
